Location ,Chemical,fraction,MCL.RSL
CCR-AP-4R,"Cobalt, Total",T,0.006
CCR-AP-5,"Cobalt, Total",T,0.006
CCR-AP-6,"Cobalt, Total",T,0.006
CCR-AP-8,"Cobalt, Total",T,0.006
CCR-AP-1R,Fluoride,T,4
CCR-AP-7,Fluoride,T,4
CCR-AP-9,Fluoride,T,4
CCR-AP-2,Fluoride,T,4
CCR-AP-3,Fluoride,T,4
CCR-AP-4R,Fluoride,T,4
CCR-AP-5,Fluoride,T,4
CCR-AP-6,Fluoride,T,4
CCR-AP-8,Fluoride,T,4
CCR-AP-1R,"Lead, Total",T,0.015
CCR-AP-7,"Lead, Total",T,0.015
CCR-AP-9,"Lead, Total",T,0.015
CCR-AP-2,"Lead, Total",T,0.015
CCR-AP-3,"Lead, Total",T,0.015
CCR-AP-4R,"Lead, Total",T,0.015
CCR-AP-5,"Lead, Total",T,0.015
CCR-AP-6,"Lead, Total",T,0.015
CCR-AP-8,"Lead, Total",T,0.015
CCR-AP-1R,"Lithium, Total",T,0.04
CCR-AP-7,"Lithium, Total",T,0.04
CCR-AP-9,"Lithium, Total",T,0.04
CCR-AP-2,"Lithium, Total",T,0.04
CCR-AP-3,"Lithium, Total",T,0.04
CCR-AP-4R,"Lithium, Total",T,0.04
CCR-AP-5,"Lithium, Total",T,0.04
CCR-AP-6,"Lithium, Total",T,0.04
CCR-AP-8,"Lithium, Total",T,0.04
CCR-AP-1R,"Mercury, Total",T,0.002
CCR-AP-7,"Mercury, Total",T,0.002
CCR-AP-9,"Mercury, Total",T,0.002
CCR-AP-2,"Mercury, Total",T,0.002
CCR-AP-3,"Mercury, Total",T,0.002
CCR-AP-4R,"Mercury, Total",T,0.002
CCR-AP-5,"Mercury, Total",T,0.002
CCR-AP-6,"Mercury, Total",T,0.002
CCR-AP-8,"Mercury, Total",T,0.002
CCR-AP-1R,"Molybdenum, Total",T,0.1
CCR-AP-7,"Molybdenum, Total",T,0.1
CCR-AP-9,"Molybdenum, Total",T,0.1
CCR-AP-2,"Molybdenum, Total",T,0.1
CCR-AP-3,"Molybdenum, Total",T,0.1
CCR-AP-4R,"Molybdenum, Total",T,0.1
CCR-AP-5,"Molybdenum, Total",T,0.1
CCR-AP-6,"Molybdenum, Total",T,0.1
CCR-AP-8,"Molybdenum, Total",T,0.1
CCR-AP-1R,Radium-226 & 228,N,5
CCR-AP-7,Radium-226 & 228,N,5
CCR-AP-9,Radium-226 & 228,N,5
CCR-AP-2,Radium-226 & 228,N,5
CCR-AP-3,Radium-226 & 228,N,5
CCR-AP-4R,Radium-226 & 228,N,5
CCR-AP-5,Radium-226 & 228,N,5
CCR-AP-6,Radium-226 & 228,N,5
CCR-AP-8,Radium-226 & 228,N,5
CCR-AP-1R,"Selenium, Total",T,0.05
CCR-AP-7,"Selenium, Total",T,0.05
CCR-AP-9,"Selenium, Total",T,0.05
CCR-AP-2,"Selenium, Total",T,0.05
CCR-AP-3,"Selenium, Total",T,0.05
CCR-AP-4R,"Selenium, Total",T,0.05
CCR-AP-5,"Selenium, Total",T,0.05
CCR-AP-6,"Selenium, Total",T,0.05
CCR-AP-8,"Selenium, Total",T,0.05
CCR-AP-1R,"Thallium, Total",T,0.002
CCR-AP-7,"Thallium, Total",T,0.002
CCR-AP-9,"Thallium, Total",T,0.002
CCR-AP-2,"Thallium, Total",T,0.002
CCR-AP-3,"Thallium, Total",T,0.002
CCR-AP-4R,"Thallium, Total",T,0.002
CCR-AP-5,"Thallium, Total",T,0.002
CCR-AP-6,"Thallium, Total",T,0.002
CCR-AP-8,"Thallium, Total",T,0.002
